dataset,method,seed,macro_f1,micro_f1,exact_match
GoEmotions,C1,0,0.0,0.0,0.0
GoEmotions,F1,0,0.002531645569620253,0.002717391304347826,0.0013831258644536654
GoEmotions,F2,0,0.002531645569620253,0.002717391304347826,0.0013831258644536654
GoEmotions,F3,0,0.0,0.0,0.0
GoEmotions,C1,1,0.0,0.0,0.0
GoEmotions,F1,1,0.0,0.0,0.0
GoEmotions,F2,1,0.0,0.0,0.0
GoEmotions,F3,1,0.0,0.0,0.0
GoEmotions,C1,2,0.0,0.0,0.0
GoEmotions,F1,2,0.0,0.0,0.0
GoEmotions,F2,2,0.0,0.0,0.0
GoEmotions,F3,2,0.0,0.0,0.0
GoEmotions,C1,3,0.0,0.0,0.0
GoEmotions,F1,3,0.0,0.0,0.0
GoEmotions,F2,3,0.0,0.0,0.0
GoEmotions,F3,3,0.0,0.0,0.0
GoEmotions,C1,4,0.0,0.0,0.0
GoEmotions,F1,4,0.002758620689655172,0.0027100271002710027,0.0013831258644536654
GoEmotions,F2,4,0.002758620689655172,0.0027100271002710027,0.0013831258644536654
GoEmotions,F3,4,0.0,0.0,0.0
