dataset,method,seed,macro_f1,micro_f1,exact_match
BRIGHTER,C1,0,0.14336118848653667,0.44269228012328865,0.12572358900144717
BRIGHTER,F1,0,0.1472509777896161,0.442324124181145,0.1248191027496382
BRIGHTER,F2,0,0.1472509777896161,0.442324124181145,0.1248191027496382
BRIGHTER,F3,0,0.0,0.0,0.10546309696092619
BRIGHTER,C1,1,0.14336118848653667,0.44269228012328865,0.12572358900144717
BRIGHTER,F1,1,0.14279004227336778,0.4388941023604995,0.12463820549927641
BRIGHTER,F2,1,0.14279004227336778,0.4388941023604995,0.12463820549927641
BRIGHTER,F3,1,0.0,0.0,0.10546309696092619
BRIGHTER,C1,2,0.142090395480226,0.43641096088496856,0.12463820549927641
BRIGHTER,F1,2,0.06066746183611697,0.09633463610436252,0.10057887120115774
BRIGHTER,F2,2,0.06066746183611697,0.09633463610436252,0.10057887120115774
BRIGHTER,F3,2,0.0,0.0,0.10546309696092619
BRIGHTER,C1,3,0.05923724616146607,0.1276005547850208,0.11414616497829233
BRIGHTER,F1,3,0.06347905282331512,0.1214497299181042,0.125
BRIGHTER,F2,3,0.06347905282331512,0.1214497299181042,0.125
BRIGHTER,F3,3,0.0,0.0,0.10546309696092619
BRIGHTER,C1,4,0.13851767962753242,0.41420830824804333,0.12626628075253257
BRIGHTER,F1,4,0.12313161071551515,0.2601805278026597,0.046128798842257596
BRIGHTER,F2,4,0.12313161071551515,0.2601805278026597,0.046128798842257596
BRIGHTER,F3,4,0.0,0.0,0.10546309696092619
BRIGHTER,C1,5,0.14336118848653667,0.44269228012328865,0.12572358900144717
BRIGHTER,F1,5,0.1457158610398847,0.4432037792570324,0.12572358900144717
BRIGHTER,F2,5,0.1457158610398847,0.4432037792570324,0.12572358900144717
BRIGHTER,F3,5,0.0,0.0,0.10546309696092619
BRIGHTER,C1,6,0.1433016020431855,0.4424689941931321,0.12572358900144717
BRIGHTER,F1,6,0.14125443786982247,0.4329343489299964,0.12427641099855283
BRIGHTER,F2,6,0.14125443786982247,0.4329343489299964,0.12427641099855283
BRIGHTER,F3,6,0.0,0.0,0.10546309696092619
BRIGHTER,C1,7,0.14342777519739897,0.44281924428192443,0.12572358900144717
BRIGHTER,F1,7,0.1415630822404839,0.39083873993590246,0.13368306801736612
BRIGHTER,F2,7,0.1415630822404839,0.39083873993590246,0.13368306801736612
BRIGHTER,F3,7,0.0,0.0,0.10546309696092619
BRIGHTER,C1,8,0.14336118848653667,0.44269228012328865,0.12572358900144717
BRIGHTER,F1,8,0.1862573289699676,0.4518343991921912,0.125
BRIGHTER,F2,8,0.1862573289699676,0.4518343991921912,0.125
BRIGHTER,F3,8,0.0,0.0,0.10546309696092619
BRIGHTER,C1,9,0.14339447411191084,0.4427557531005807,0.12572358900144717
BRIGHTER,F1,9,0.16481789945704994,0.4199190517490604,0.11468885672937772
BRIGHTER,F2,9,0.16481789945704994,0.4199190517490604,0.11468885672937772
BRIGHTER,F3,9,0.0,0.0,0.10546309696092619
ISEAR,C1,0,0.0,0.0,0.0
ISEAR,F1,0,0.0026490066225165563,0.0030911901081916537,0.0015503875968992248
ISEAR,F2,0,0.0026490066225165563,0.0030911901081916537,0.0015503875968992248
ISEAR,F3,0,0.0,0.0,0.0
ISEAR,C1,1,0.0,0.0,0.0
ISEAR,F1,1,0.0,0.0,0.0
ISEAR,F2,1,0.0,0.0,0.0
ISEAR,F3,1,0.0,0.0,0.0
ISEAR,C1,2,0.0,0.0,0.0
ISEAR,F1,2,0.050284765068818224,0.10909090909090909,0.07441860465116279
ISEAR,F2,2,0.050284765068818224,0.10909090909090909,0.07441860465116279
ISEAR,F3,2,0.0,0.0,0.0
ISEAR,C1,3,0.0,0.0,0.0
ISEAR,F1,3,0.030493273542600896,0.04871060171919771,0.02635658914728682
ISEAR,F2,3,0.030493273542600896,0.04871060171919771,0.02635658914728682
ISEAR,F3,3,0.0,0.0,0.0
ISEAR,C1,4,0.0,0.0,0.0
ISEAR,F1,4,0.0,0.0,0.0
ISEAR,F2,4,0.0,0.0,0.0
ISEAR,F3,4,0.0,0.0,0.0
