Dataset,method,Macro_Mean,Macro_Std,Micro_Mean,Micro_Std,Exact_Mean,Exact_Std
BRIGHTER,C1,0.1343,0.0264,0.4077,0.0988,0.1245,0.0037
BRIGHTER,F1,0.1317,0.0403,0.3498,0.1389,0.1145,0.0256
BRIGHTER,F2,0.1317,0.0403,0.3498,0.1389,0.1145,0.0256
BRIGHTER,F3,0.0,0.0,0.0,0.0,0.1055,0.0
ISEAR,C1,0.0,0.0,0.0,0.0,0.0,0.0
ISEAR,F1,0.0167,0.0228,0.0322,0.0477,0.0205,0.0322
ISEAR,F2,0.0167,0.0228,0.0322,0.0477,0.0205,0.0322
ISEAR,F3,0.0,0.0,0.0,0.0,0.0,0.0
GoEmotions,C1,0.0,0.0,0.0,0.0,0.0,0.0
GoEmotions,F1,0.0011,0.0015,0.0011,0.0015,0.0006,0.0008
GoEmotions,F2,0.0011,0.0015,0.0011,0.0015,0.0006,0.0008
GoEmotions,F3,0.0,0.0,0.0,0.0,0.0,0.0
